,아파트명,매매가(억),전세가(억),전세가율,시공일자,가압류,압류,신탁,소유권이전,임차권등기명령,근저당,근저당정규화,지역,시공일자_datetime,시공일자_년도,label
67,도양라비앙빌,1.5,1.5,1,2010-12-17 00:00:00,0,0,0,0,0,0,1,서울 강서구 화곡동 29-65,2010-12-17 00:00:00,2010,1
68,폴라비엘,2.6,2.84,1.092307692,2018-08-10 00:00:00,1,0,0,0,1,0,1.092307692,서울 강서구 화곡동 1038-4,2018-08-10 00:00:00,2018,1
69,로즈빌,1.83,2.05,1.120218579,2018-01-31 00:00:00,1,1,0,0,1,27,15.87431694,서울 강서구 화곡동 24-113,2018-01-31 00:00:00,2018,1
70,엔에스타운,2.1,1.98,0.942857143,2019-02-12 00:00:00,0,0,0,0,1,0,0.942857143,서울 강서구 화곡동 105-128,2019-02-12 00:00:00,2019,1
71,성운빌라,2.1,2,0.952380952,2001-07-21 00:00:00,0,0,0,0,1,1.08,1.466666667,서울 강서구 화곡동 152-9,2001-07-21 00:00:00,2001,1
72,수정맨션,1.9,1.65,0.868421053,2002-04-12 00:00:00,0,0,0,0,1,0.429,1.094210526,서울 강서구 화곡동 455-19,2002-04-12 00:00:00,2002,1
73,에비앙하우스,2.6,2.82,1.084615385,2017-12-18 00:00:00,1,1,0,0,1,0,1.084615385,서울 강서구 화곡동 393-9,2017-12-18 00:00:00,2017,1
74,대림캐슬,2.2,2.12,0.963636364,2017-06-19 00:00:00,0,1,0,0,0,4.8,3.145454545,서울 강서구 화곡동 80-50,2017-06-19 00:00:00,2017,1
75,아데나팰리스,1.85,1.85,1,2016-03-01 00:00:00,1,1,0,0,0,0,1,서울 강서구 화곡동 362-153,2016-03-01 00:00:00,2016,1
76,드림시드아파트1차,1.9,1.98,1.042105263,2017-12-04 00:00:00,1,1,0,0,1,0,1.042105263,서울 강서구 화곡동 899-13,2017-12-04 00:00:00,2017,1
77,다솜,1.51,1.6,1.059602649,2015-03-13 00:00:00,1,1,0,0,1,0,1.059602649,서울 강서구 화곡동 381-2,2015-03-13 00:00:00,2015,1
78,프리즘파스텔,1.9,1.9,1,2000-06-08 00:00:00,1,0,0,0,1,0,1,서울 강서구 화곡동 402-4,2000-06-08 00:00:00,2000,1
79,스페이스빌,2.97,2.69,0.905723906,2018-04-18 00:00:00,0,0,0,0,1,0,0.905723906,서울 강서구 내발산동 709-10,2018-04-18 00:00:00,2018,1
80,더뿌리건축,2.55,1.8,0.705882353,2019-02-22 00:00:00,1,0,0,0,0,6,3.058823529,광주 북구 일곡동 872-1,2019-02-22 00:00:00,2019,1
81,더뿌리건축,1.07,0.8,0.747663551,2014-07-03 00:00:00,1,0,0,0,0,0.6,1.308411215,광주광역시 북구 일곡로49번길 86-5,2014-07-03 00:00:00,2014,1
82,고야드빌라,2.07,2.37,1.144927536,2017-11-30 00:00:00,0,1,0,0,1,0,1.144927536,서울 강서구 공항동 659-5,2017-11-30 00:00:00,2017,1
83,타운빌라,1.4,1.5,1.071428571,1991-12-10 00:00:00,1,1,0,0,1,0,1.071428571,서울 강서구 화곡동 971-10,1991-12-10 00:00:00,1991,1
84,라움,1.67,2.23,1.335329341,2016-04-26 00:00:00,1,1,0,0,0,0.748,1.783233533,서울 강서구 화곡동 46-31,2016-04-26 00:00:00,2016,1
85,은탑빌라2차,1.75,1.75,1,1995-04-21 00:00:00,1,1,0,0,1,0,1,서울 관악구 신림동 481-13,1995-04-21 00:00:00,1995,1
86,동방빌라,0.55,0.25,0.454545455,1991-05-20 00:00:00,1,1,0,1,0,0.5775,1.504545455,서울 강서구 화곡동 102-169,1991-05-20 00:00:00,1991,1
87,삼흥하이츠빌라,1.55,1.55,1,1992-02-21 00:00:00,1,1,0,0,1,0,1,서울 강서구 화곡동 410-20,1992-02-21 00:00:00,1992,1
88,신의쉐르빌,1.4,2.3,1.642857143,2016-09-21 00:00:00,1,1,0,0,1,0,1.642857143,서울 은평구 갈현동 268-48,2016-09-21 00:00:00,2016,1
89,유성아이비,2.45,2.35,0.959183673,2017-09-25 00:00:00,1,1,0,0,1,60,25.44897959,서울 은평구 신사동 270-53,2017-09-25 00:00:00,2017,1
90,그린모닝빌,0.94,1.24,1.319148936,2002-11-04 00:00:00,1,1,0,0,0,0,1.319148936,서울특별시 강서구 까치산로17길 22,2002-11-04 00:00:00,2002,1
